NAME,YEAR,KM,PRICE,FUEL
아반떼 AD,2016-01-01,99249.0,1050.0,디젤
아반떼 AD,2015-12-01,75806.0,1070.0,가솔린
아반떼 AD,2016-01-01,22335.0,1080.0,가솔린
아반떼 AD,2016-01-01,87339.0,1090.0,디젤
아반떼 AD,2016-03-01,77861.0,1090.0,디젤
아반떼 AD,2017-01-01,94000.0,1120.0,디젤
아반떼 AD,2016-01-01,26247.0,1120.0,가솔린
아반떼 AD,2016-01-01,70538.0,1160.0,디젤
아반떼 AD,2016-02-01,44348.0,1240.0,가솔린
아반떼 AD,2015-12-01,39485.0,1250.0,가솔린
아반떼 AD,2016-02-01,25173.0,1290.0,가솔린
아반떼 AD,2016-05-01,40231.0,1360.0,가솔린
아반떼 AD,2016-03-01,48821.0,1420.0,가솔린
아반떼 AD,2016-02-01,31251.0,1420.0,가솔린
아반떼 AD,2016-08-01,11705.0,1550.0,가솔린
아반떼 AD,2017-05-01,23826.0,1620.0,디젤
투싼,2015-09-01,82317.0,1480.0,디젤
투싼,2015-12-01,39509.0,1530.0,디젤
투싼,2017-05-01,114069.0,1550.0,디젤
투싼,2015-07-01,26544.0,1590.0,디젤
투싼,2015-10-01,39439.0,1630.0,디젤
투싼,2015-09-01,91335.0,1650.0,디젤
투싼,2015-10-01,36014.0,1680.0,디젤
투싼,2015-06-01,114561.0,1700.0,디젤
투싼,2016-11-01,46090.0,1820.0,디젤
투싼,2014-02-01,66141.0,1130.0,디젤
투싼,2015-03-01,114386.0,1190.0,디젤
투싼,2010-03-01,101900.0,790.0,디젤
투싼,2012-09-01,127771.0,960.0,디젤
투싼,2012-01-01,44133.0,1040.0,디젤
투싼,2013-04-01,92868.0,1100.0,디젤
아반떼 전버전,2014-10-01,102358.0,630.0,디젤
아반떼 전버전,2013-12-01,47872.0,770.0,디젤
아반떼 전버전,2014-06-01,63060.0,970.0,가솔린
아반떼 전버전,2014-07-01,33167.0,970.0,가솔린
아반떼 전버전,2010-10-01,118913.0,580.0,가솔린
아반떼 전버전,2011-01-01,128456.0,620.0,가솔린
아반떼 전버전,2012-11-01,82831.0,650.0,가솔린
아반떼 전버전,2010-11-01,79052.0,690.0,가솔린
아반떼 전버전,2012-06-01,25910.0,870.0,가솔린
아반떼 전버전,2013-08-01,119639.0,720.0,가솔린
BMW1,2016-07-01,98841.0,1850.0,디젤
BMW1,2013-08-01,82000.0,1130.0,디젤
BMW1,2015-03-01,25374.0,2030.0,디젤
BMW1,2013-05-01,63540.0,1420.0,디젤
BMW1,2017-05-01,18600.0,2570.0,디젤
BMW1,2017-12-01,25000.0,2900.0,디젤
BMW1,2016-07-01,98841.0,1850.0,디젤
BMW3,2014-04-01,119216.0,1840.0,디젤
BMW3,2015-01-01,120539.0,1850.0,디젤
BMW3,2015-02-01,27895.0,2630.0,디젤
BMW3,2016-12-01,11952.0,3290.0,디젤
BMW5,2010-01-01,98040.0,1120.0,가솔린
BMW5,2010-09-01,137925.0,1590.0,디젤
BMW5,2010-08-01,47338.0,1990.0,가솔린
벤츠C,2010-08-01,79800.0,1390.0,가솔린
벤츠C,2011-01-01,73061.0,1450.0,가솔린
벤츠C,2010-01-01,58787.0,1450.0,가솔린
벤츠C,2010-03-01,92761.0,2390.0,가솔린
벤츠C,2012-06-01,83502.0,1650.0,가솔린
벤츠C,2017-11-01,26390.0,4190.0,디젤
벤츠C,2016-04-01,20446.0,3870.0,디젤
미니,2011-02-01,82264.0,980.0,가솔린
미니,2010-05-01,110540.0,1020.0,가솔린
미니,2011-07-01,90551.0,1260.0,가솔린
미니,2011-03-01,81554.0,1370.0,가솔린
미니,2013-01-01,127148.0,1440.0,디젤
미니,2014-03-01,67515.0,1770.0,디젤
미니,2014-04-01,87454.0,1880.0,디젤
미니,2016-04-01,37888.0,1940.0,가솔린
